Intents,Input_Queries
atis_flight, i want to fly from boston at 838 am and arrive in denver at 1110 in the morning
atis_flight, what flights are available from pittsburgh to baltimore on thursday morning
atis_flight_time, what's the arrival time in sanfrancisco for the 755 am flight leaving washington
atis_airfare, cheapest airfare from tacoma to orlando
atis_airfare, round trip fares from pittsburgh to philadelphia under 1000 dollars
atis_flight, i need a flight tomorrow from columbus to minneapolis
atis_aircraft, what kind of aircraft is used on a flight from cleveland to dallas
atis_flight, show me the flights from pittsburgh to losangeles on thursday
atis_flight, all flights from boston to washington
atis_flight, show me the flights from dallas to sanfrancisco
atis_flight, show me the flights from sandiego to newark by way of houston
atis_airfare, show me the first class fares from boston to denver
atis_flight, all flights from denver to pittsburgh leaving after 6 pm and before 7 pm
atis_flight, i need information on flights for tuesday leaving baltimore for dallas dallas to boston and boston to baltimore
atis_flight, please give me the flights from boston to pittsburgh on thursday of next week
atis_flight, show me the flights from sandiego to newark
atis_flight, please list all first class flights on united from denver to baltimore
atis_flight, show me all flights from boston to pittsburgh on wednesday of next week which leave boston after 2 o'clock pm
atis_flight, i also need service from dallas to boston arriving by noon
atis_airfare, show me the cheapest round trip fare from baltimore to dallas
atis_flight, show me all flights from newyork to milwaukee on northwest airlines departing at 720 am
atis_flight, flights from newyork to miami
atis_flight, please find a flight on delta from philadelphia to sanfrancisco and give me the flight numbers
atis_flight, i need a flight from dallas to sanfrancisco
atis_airfare, fares and flights from pittsburgh to philadelphia
atis_flight, show flights from baltimore to sanfrancisco between 6 pm and 8 pm on friday
atis_airline, what airlines fly from newyork to milwaukee to losangeles
atis_flight, show me all flights from boston to dallas fort worth both direct and connecting that arrive before noon
atis_flight, i need a flight from charlotte to newark leaving today evening
atis_flight_time, what are the times that you have planes leaving from sanfrancisco going to pittsburgh on july seventh
atis_flight, flights from newark to cleveland
atis_flight, what flights go from boston to pittsburgh after 6 o'clock next tuesday
atis_flight, what is the least expensive flight from denver to atlanta
atis_flight, what flight goes from denver to baltimore first class on united airlines arriving on may seventh
atis_airline, could you please tell me the airlines that fly from toronto to sandiego
atis_flight, what flights do you have from burbank to tacoma washington
atis_flight, find the latest flight from sanfrancisco to atlanta that serves a meal
atis_flight, show me flights from boston to denver on wednesday
atis_flight, show me the flights from boston to baltimore
atis_flight, please give me the flights from sanfrancisco to washington dc
atis_flight, i need information from denver to pittsburgh
atis_airfare, what is the cost of a round trip flight from pittsburgh to atlanta beginning on april twenty fifth and returning on may sixth
atis_flight, give me the flights leaving denver august ninth coming back to boston
atis_flight, what flights fly from denver to sanfrancisco on monday tuesday wednesday thursday and friday
atis_flight, list all flights from indianapolis to seattle
atis_flight, display all flights from baltimore to boston on july twenty ninth
atis_flight, i now need a flight from sanjose to houston leaving on sunday the fourth
atis_flight, show me flights from boston to sanfrancisco
atis_flight, list the delta airlines flights from boston to philadelphia
atis_airfare, show me the fares from dallas to sanfrancisco
atis_flight, on the earliest flight from sanfrancisco to atlanta on delta is a meal being served
atis_flight, find me the earliest flight from boston to atlanta
atis_flight, list nonstop flights from houston to dallas which arrive before midnight
atis_flight, show me the flights from boston to sanfrancisco that stop in atlanta
atis_flight, show me flights to sanfrancisco from philadelphia stopping in dallas
atis_flight, show me flights from baltimore to dallas
atis_flight, i'd like a flight from columbus to phoenix stopping in cincinnati and serving dinner what's available
atis_flight, also show me flights from sanfrancisco to pittsburgh on tuesday
atis_flight, show flights from dallas to oakland
atis_flight, show me all flights from sanfrancisco to pittsburgh
atis_flight, find me a flight on united from boston to sanfrancisco with a stopover in denver
atis_flight, what flights go from newark to boston after 5 pm
atis_flight, what are all the flights from boston to dallas
atis_flight, what is the earliest flight flying from pittsburgh to atlanta on july fifth
atis_flight, please list available flights for next saturday from philadelphia to dallas
atis_airline, which airline has the smallest plane leaving pittsburgh and arriving in baltimore on july fourth
atis_flight, all flights from boston to washington dc on november tenth
atis_flight, what are the flights from denver to sanfrancisco
atis_aircraft, on the 8 am flight from sanfrancisco to atlanta what type of aircraft is used
atis_flight, which flight is a one way fare at 329 dollars from denver to pittsburgh
atis_flight, i would like some information on flights leaving boston to atlanta
atis_flight, show me the latest nonstop flight from denver to washington dc
atis_flight, what are the flights from dallas to baltimore
atis_airfare, can you show me economy class one way fares for flights from oakland to dallas on december sixteenth
atis_flight, show me flights from philadelphia to oakland on friday
atis_flight, i would like to know the flights available from boston to denver arriving in denver by 8 o'clock wednesday morning
atis_flight, list the flight from philadelphia to sanfrancisco on american airlines
atis_flight, what is the first flight from atlanta to boston on thursday september fifth that leaves after 8 am
atis_airfare, what is the first class fare on united flight 352 from denver to boston
atis_flight, flight from philadelphia to dallas arriving before 4 pm on saturday
atis_flight, list flights tomorrow from sandiego to phoenix
atis_flight, show me all flights from sanfrancisco to washington dc area
atis_flight, show me all the united airlines flights leaving dallas
atis_flight, list all flights from baltimore to philadelphia
atis_flight, round trip flights from minneapolis to sandiego coach economy fare
atis_flight, flights from denver to baltimore between 10 am and 2 pm
atis_flight, show me the flights from denver to atlanta
atis_flight, what flights are there on delta from boston to dallas
atis_flight, leaving washington going to sanfrancisco the latest flight
atis_flight, how do i get from pittsburgh airport to downtown pittsburgh
atis_flight, what is the earliest flight going from sanfrancisco to dallas on monday august nineteenth
atis_flight, i would like information on any flights from pittsburgh to sanfrancisco leaving thursday evening
atis_flight, i need a cheap flight from baltimore to sanfrancisco
atis_airfare, what is the cost of a first class ticket from baltimore to dallas
atis_airfare, what is the economy thrift fare from boston to washington
atis_flight, list the nonstop flights early tuesday morning from dallas to atlanta
atis_flight, are there any flights from dallas fort worth to boston leaving before 10 am
atis_flight, i need a return flight from philadelphia to boston
atis_flight, shortest evening flight from tampa to cincinnati
atis_flight, show me the lowest price from dallas to baltimore
atis_flight, how do you travel from sanfrancisco airport to downtown sanfrancisco
atis_flight, show me the least expensive flight leaving miami on sunday after 12 o'clock noon and arriving cleveland
atis_flight, i want to fly from philadelphia to dallas with a stop in atlanta on a breakfast flight
atis_flight, i'm requesting flight information on a flight from denver to sanfrancisco on wednesday
atis_airline, what airlines have flights from boston to philadelphia that leave before 630 am
atis_flight, show me the flights from dallas to atlanta
atis_flight, please show me all one way first class flights from indianapolis to memphis
atis_flight, i'd like a united airlines flight on wednesday from sanfrancisco to boston
atis_flight, list all flights going from boston to atlanta before 7 o'clock am on thursday
atis_flight, show me the flights from boston to atlanta
atis_flight, what flights are there wednesday morning from atlanta to philadelphia
atis_flight, flights from columbus to milwaukee
atis_flight, i need information for flights leaving sanfrancisco on thursday evening and returning to boston
atis_flight, i need a flight from toronto to sandiego with a layover in washington dc on air canada
atis_flight, show me the latest flight on wednesday from atlanta to washington dc
atis_flight, please give me flights from atlanta to boston on wednesday and thursday
atis_flight, list all flights on united from sanfrancisco to boston
atis_flight, what flights do you have from newark new jersey to ontario california that connect in phoenix
atis_flight, show me flights from baltimore to philadelphia
atis_flight, show me the flights from westchester county to cincinnati
atis_flight, show me flights leaving from sanfrancisco to denver on september thirtieth
atis_airline, what airlines fly from toronto to sandiego
atis_flight, tell me the flights from dallas to baltimore
atis_flight, what is the first flight from boston to stapleton airport for tomorrow
atis_flight, what flights from milwaukee to sanjose on wednesday on american airlines
atis_flight, show me all the flights from burbank to denver
atis_flight, show me the flights from cincinnati to denver
atis_airfare, show me the prices of all flights from atlanta to washington dc
atis_airfare, show me fares from baltimore to philadelphia
atis_flight, display all flights from pittsburgh to sanfrancisco on august second
atis_flight_time, what time are the flights leaving from denver to pittsburgh on july seventh
atis_flight, what's the cheapest one way flight from denver to pittsburgh
atis_flight, show me the flights from dallas to baltimore
atis_flight, show me the us air flights from atlanta to boston
atis_flight, show me all flights from pittsburgh to sanfrancisco
atis_flight, show me a list of the flights from sanfrancisco to boston
atis_flight, show me the earliest flight from boston to sanfrancisco
atis_flight, what's the latest flight from sanjose to houston
atis_flight, what flights from miami to indianapolis
atis_flight, flight from nashville to cleveland
atis_flight, give me a flight from newark to tampa on friday
atis_flight, show me the flights from denver to sanfrancisco
atis_flight, i would like a flight from washington to boston flight 324 on august twentieth
atis_flight, show me the nonstop flights from dallas to houston
atis_flight, list the flights from dallas to baltimore
atis_flight, show me the flights from denver to atlanta on friday
atis_flight, what are all monday flights from denver to sanfrancisco on united airlines
atis_flight, show all flights from pittsburgh to sanfrancisco on july twenty eighth 1991
atis_flight, i would like information on any flights from sanfrancisco to pittsburgh arriving in pittsburgh before 8 am tuesday morning
atis_flight, find travel arrangements for a round trip flight from dallas to pittsburgh after 8 pm
atis_flight, does united airlines fly from denver to baltimore
atis_flight, can you show me the flights from baltimore to dallas
atis_flight, show me all flights direct and connecting from boston to pittsburgh that arrive in pittsburgh before 10 am
atis_flight, is there any flight leaving washington around 3 o'clock for denver
atis_flight_time, i would like a schedule of flights from denver to sanfrancisco on tuesday
atis_flight, list the flights from stpaul to sanjose and from stpaul to houston
atis_flight, what's the earliest flight from dallas to houston
atis_flight, i would like information on flights from philadelphia to oakland california on friday afternoon
atis_aircraft, what type of aircraft is used on the flight from atlanta to philadelphia before 12 o'clock noon
atis_flight, show me all flights from sanfrancisco to boston philadelphia or baltimore
atis_flight, what are the early weekday flights from sanfrancisco to pittsburgh
atis_flight, i want a flight from ontario to chicago
atis_flight, i want to fly from boston to denver with a stop in philadelphia
atis_flight, i need a list of late afternoon flights from stlouis to chicago
atis_flight, what flights go from boston to orlando
atis_flight, list all flights going from boston to atlanta on wednesday after 6 o'clock pm on wednesday
atis_flight, what flights does delta have from denver to dallas after 5
atis_flight, show me flights to philadelphia coming from baltimore or denver or pittsburgh
atis_flight, show me all the flights from sanfrancisco to boston for august thirty first 1991
atis_flight, what flights go from chicago to seattle on saturday on continental airlines
atis_airfare, price of flight from cleveland to nashville
atis_flight, what is your cheapest flight from pittsburgh to denver
atis_flight, on september fourth i'll be traveling from pittsburgh to atlanta can you tell me what flight would be the cheapest
atis_airfare, show me all economy prices from dallas to baltimore
atis_flight, name the earliest flight from boston to sanfrancisco
atis_flight, weekday flights from sanfrancisco to denver
atis_flight, show me the flights from boston to pittsburgh next wednesday night after 6 o'clock
atis_flight, show me all flights from philadelphia to baltimore
atis_flight, show me all flights from boston to denver which arrive in denver wednesday before 6
atis_flight, i would like a flight that leaves on friday from philadelphia to dallas that makes a stop in atlanta
atis_flight, is there a flight from atlanta to sanfrancisco on november seventh at noon
atis_flight, find me the earliest flight from boston to atlanta and the latest return from atlanta to boston within the same day
atis_flight, does continental airlines fly from pittsburgh to atlanta
atis_aircraft, what type of aircraft leaving philadelphia to dallas
atis_flight, what flights are available on sunday to pittsburgh from sanfrancisco
atis_flight, are there delta flights leaving denver
atis_flight, show me all the direct flights from baltimore to atlanta
atis_flight, i'm looking for a flight from pittsburgh to sanfrancisco
atis_flight, list all flights on continental leaving denver
atis_flight, i would like to fly from atlanta to boston arriving in boston at 5 pm
atis_flight, show me the united airlines flights from denver to baltimore leaving on june fourteenth
atis_flight, show me flights from sanfrancisco to seattle
atis_flight, information on flights from baltimore to philadelphia
atis_flight, list flights leaving denver and arriving in orlando on saturday departing after 12 pm
atis_flight, does midwest express have any flights from montreal to detroit
atis_flight, list all flights from denver to philadelphia
atis_flight, find travel arrangements for a one way flight from sanfrancisco to dallas
atis_flight, flight from ontario to orlando that departs 9 hours before arriving
atis_flight, american flights to houston from cincinnati
